Original Cell Type Name,Standardized Celltype Name
1015c,1015c
10326,10326
1184_Stem_cell,1184_Stem_cell
133_Astrocyte,133_Astrocyte
143B_Osteosarcoma_cell,143B_Osteosarcoma_cell
21NT_Epithelium_Breast,21NT_Epithelium_Breast
226LDM,226LDM
22RV1_Epithelium_Prostate,22RV1
293FT_Embryonic_Kidney,293FT
293T,293T
293T_Embryonic_Kidney,293T
293T-Rex,293T-Rex
3565_cells,3565_cells
451Lu_Melanoma_Cell,451Lu_Melanoma_Cell
4star,4star
501-Mel_melanoma,501-Mel
501-Mel_Melanoma_Cell,501-Mel
5637_Stem_cell,5637_Stem_cell
5637_Urinary_Bladder,5637_Urinary_Bladder
6540_cells_Epithelium,6540_cells_Epithelium
697_B-ALL,697_B-ALL
7250_Fibroblast,7250_Fibroblast
76NF2V_Breast,76NF2V_Breast
786-0_Kidney,786-0_Kidney
786-O_Epithelium_Kidney,786-O_Epithelium_Kidney
8988T,8988T
8988t_Epithelium_Pancreas,8988T
9.4_Neuron_Prefrontal,9.4_Neuron_Prefrontal
90-8TL_Schwann_Cell_Brain,90-8TL_Schwann_Cell_Brain
A-172_Glial_Cell_Brain,A-172_Glial_Cell_Brain
A-498,A-498
A3.01_T_Lymphocyte_Blood,A3.01_T_Lymphocyte_Blood
A375_melanoma,A375_melanoma
A375_Melanoma_Cell,A375_melanoma
A375_melanoma_Skin,A375_melanoma
A375_Skin,A375_Skin
A549,A549
A549_Epithelium_Lung,A549
A549_EtOH_0.02pct_Lung_Carcinoma,A549_EtOH_0.02pct_Lung_Carcinoma
A673_Patient,A673
A673_Polygonal_Muscle,A673
AB32_Epithelium_Mammary_Gland,AB32_Epithelium_Mammary_Gland
AC16_Cardiomyocyte,AC16_Cardiomyocyte
ACC112,ACC112
ACH2_HIV-1_latency_T_cell,ACH2_HIV-1_latency_T_cell
ACHN_Kidney,ACHN_Kidney
Activated_Treg,Activated_Treg
Acute_myeloid_leukemia,Acute_myeloid_leukemia
Adipocyte,Adipocyte
Adipocyte_Adipose,Adipocyte
Adipose,Adipose
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Adipose_Nuclei,Adipose_Nuclei
Adrenal_Gland,Adrenal_Gland
Adult_CD4_Th0,Adult_CD4_Th0
Adult_Liver,Adult_Liver
AG04449,AG04449_Fibroblast_Skin
AG04449_Fibroblast_Skin,AG04449_Fibroblast_Skin
AG04450,AG04450_Fibroblast_Fetal_Lung
AG04450_Fibroblast_Fetal_Lung,AG04450_Fibroblast_Fetal_Lung
AG09309,AG09309_Fibroblast_Skin
AG09309_Fibroblast_Skin,AG09309_Fibroblast_Skin
AG09319,AG09319_Fibroblast_Gingiva
AG09319_Fibroblast_Gingiva,AG09319_Fibroblast_Gingiva
AG10803,AG10803_Fibroblast_Skin
AG10803_Fibroblast_Skin,AG10803_Fibroblast_Skin
AG18359_Lymphocyte,AG18359_Lymphocyte
AGS_Epithelium_Stomach,AGS_Epithelium_Stomach
AGS_gastric_cancer_cell_line,AGS_gastric_cancer_cell_line
Akata_B_Lymphocyte,Akata_B_Lymphocyte
ALL-SIL_T_Lymphocyte_Blood,ALL-SIL_T_Lymphocyte_Blood
AML_cell,AML_cell
Ammon's_horn,Ammon's_horn
Angular_Gyrus,Angular_Gyrus
Anterior_Caudate_Cell_Angular_Gyrus,Anterior_Caudate_Cell_Angular_Gyrus
Anterior_Caudate_Cell_Brain,Anterior_Caudate_Cell_Brain
AoAF,AoAF
Aorta,Aorta
AoSMC,AoSMC
Artery,Artery
Astrocyte,Astrocyte
Astrocyte_Brain,Astrocyte_Brain
